Id,Name,Type,UnitPrice
c1d99a57-b8b7-481d-93ba-9b313d8876d4,lemonCake,desert,8000
1248c670-ae83-4a41-83d2-8fc5a0cc5319,lemonCake,desert,8000
3d5af8d2-5345-4aa7-b937-c1def05f2cf6,espresso,coffee,2500
9207eb9f-3609-4413-95a1-cd037260f4c5,bananaSmoothie,nonCoffee,7500
11c5125f-427f-48ec-9cec-2219441c913f,americano,coffee,4000
c0ba38f1-77bd-497c-b8e9-92ba25ccb29e,orangeJuice,nonCoffee,7000
b3269d2b-b0b8-454b-9cc5-e39efd86706a,americano,coffee,4000
5c4dfe92-a788-47bd-899d-126d8509988f,espresso,coffee,2500
1198f051-4470-4b42-a9f2-aa20c5e359ef,blendedTee,nonCoffee,6000
2803c0cd-4a65-4000-90ec-d316f1432ea2,blendedTee,nonCoffee,6000
3709abcf-1ebc-441d-b7ef-364e303be3ce,lemonCake,desert,8000
549d422a-fc94-47df-ab4f-69048971ee86,orangeJuice,nonCoffee,7000
d81613fb-cb69-4e3c-8685-6494229ddf26,waffle,desert,9000
c8ed8d6f-61cb-4ce5-acbc-e8d020c96cfe,orangeJuice,nonCoffee,7000
80275233-0500-4189-817a-953aa6abbb75,latte,coffee,5000
4b88a393-30e8-4448-9a89-09411f4e0e75,espresso,coffee,2500
e82de240-dd9e-4bf1-a2f5-165a23f5d973,americano,coffee,4000
b701ec5f-f03d-4a08-9bac-3e5b780bb804,espresso,coffee,2500
bc1a57a4-1e50-4921-8ac4-ca3aeaf2b03f,espresso,coffee,2500
3a0767b8-ca04-43e3-bad2-f965b1e7ead4,espresso,coffee,2500
