Id,Name,Type,UnitPrice
7038d5d7-31cc-48a2-a7d0-8c61ba394999,americano,coffee,4000
4cee9a79-ba03-4ae2-b658-543b4e9ec0fc,bananaSmoothie,nonCoffee,7500
6b1b8461-15b3-48ac-8eaf-b7ba8e787616,blendedTee,nonCoffee,6000
283f6024-2084-4608-9b1e-d60b843a0b1a,waffle,desert,9000
e4ec86f5-3c64-47d3-9640-a2bead8e6ebe,latte,coffee,5000
66cd9fe9-33ff-4e53-9183-6bbff7a4b371,espresso,coffee,2500
833e67b5-d7d9-416b-92c1-186937a21c78,orangeJuice,nonCoffee,7000
f3fcaee7-b4c2-46d0-8fb9-12596f76841a,bananaSmoothie,nonCoffee,7500
c1805b17-2f9f-48f4-a70a-c58f3a3bb4f2,latte,coffee,5000
bf3d9a21-daff-43c1-b0a0-65e263ebdd40,espresso,coffee,2500
2d2041da-1619-46b5-80d7-a9b084f10695,blendedTee,nonCoffee,6000
e174707e-ec27-4c74-840c-c8dc4373f206,americano,coffee,4000
f67f0bcd-8c19-4efb-9b21-594e3b188643,bananaSmoothie,nonCoffee,7500
b26abe07-76a5-43bd-a152-bc153f90a399,blendedTee,nonCoffee,6000
59248b4f-9d66-40e3-813e-24a8fa83eeee,latte,coffee,5000
c4e48eb1-2ac0-4395-b15e-55b78bf4b698,blendedTee,nonCoffee,6000
1beef29b-3a75-46b5-b74e-3328fcf81abb,bananaSmoothie,nonCoffee,7500
805aff95-a155-4a31-8200-b5ad5171f73f,waffle,desert,9000
4566e2b8-7d51-40d0-9cce-ab1a307e8a83,lemonCake,desert,8000
ac8c781b-b978-41dc-8408-1311144a0ff4,blendedTee,nonCoffee,6000
