Id,OrderAt,StoreId,UserId
1c3428d2-18c4-421d-a9ff-c42036c5734e,2024-01-11 22:06:45,01db270f-db01-4332-8cdc-5f41f0952806,d1724236-8842-46db-8fad-c4481dec3a1d
a944f068-46a2-4602-86a8-107a37ac6900,2024-07-20 19:35:08,1852f3e7-eba8-49bf-a246-b34796bee33b,aac3ecec-c3f5-43ca-a3ab-c6d09aa3a1a4
1b599fcb-b6dc-47e2-8bea-611e8ecebba6,2024-04-05 23:05:15,5d92afce-79ee-4b23-aad8-4499020434cd,b42387fe-c62e-4e5e-a3b6-435c1286b5f8
d16c8cef-de4d-45fb-b947-5c3639324c06,2024-03-27 12:17:38,c7210314-67ea-4048-b8ec-2637e10c6cbd,164db2da-a085-4514-a0af-cfd71a3a3c91
b6ecda6f-8605-4a62-b11a-d6140b4f032a,2024-10-05 15:43:11,50f99b68-c82c-4b10-81dc-055292f024a7,70b63146-ce3d-4874-bcef-61f9ead9d880
9c0f7b02-e5d0-43b1-bb73-185e4b1cbf9c,2024-06-14 03:36:23,6d28c803-f7db-43d0-81c3-40982766a466,9c3179dd-1771-48af-b788-6c80701e0869
c7d72d91-d614-403b-a131-425f311940f1,2024-04-14 21:19:55,e8567eba-6cbd-443f-b968-4de786c52843,12125a2f-d9d0-4a18-995e-2d6a3f2f69b1
f60edbd2-da44-4177-ae79-2afa5644f808,2024-07-04 12:58:03,d7011329-8db7-4ef4-8aa8-dc6d0392ab9a,0eebb98b-575d-4b1c-a261-0a523b17b439
a7f2d104-e110-4509-bcb9-80de69f4b040,2024-02-26 18:19:23,7dafd22c-1ebb-457d-8401-a6f209aed93d,5d9fb088-e161-436a-9766-21e93b01142c
1e382ba7-9543-46d1-9c66-11cd0259b3cf,2024-04-06 06:21:45,e06d1d0d-2602-4939-8353-37165ef65e99,cd011f36-a4eb-4901-b74b-eb57ae9d623e
c2d340cd-f090-4354-bf37-de77db81b32c,2024-12-11 10:08:31,a3e78752-724b-4933-ab06-6963f43966fc,b1389194-3814-4dca-943a-110a816dd67e
e6c1fb47-45ce-49d0-adbd-9996d4c130cd,2024-10-12 09:46:16,93b56178-41ff-4442-9f9f-ffcb535ec0c6,72c9f3bf-a1e6-4f16-a8cb-66adba6befed
8e6020c9-7666-40d5-8e2d-3be83cd15aef,2024-03-17 22:20:32,77a8f404-bd43-45e6-9e6e-0f83d66c190c,40d5a1dc-0ba7-4fe3-8795-dbfcac9b1b9d
a7016e83-b21f-4d20-96d7-cd16f36402cd,2024-08-05 08:49:50,716e790d-3a35-4a24-8b84-7caf3b6f9b9c,bd214c68-1ced-4821-9702-8aa446b0ef07
